author;message_short;date;commit;weekday;month;monthday;time;year;message;left_parent;right_parent;n_parents
eppofahmi;Initial commit;2018-04-04T10:37:19Z;d1ab181;Wed;Apr;4;10.37.19;2018;Initial commit;NA;NA;0
eppofahmi;first collecting dat;2018-04-04T10:45:23Z;7c3b2f0;Wed;Apr;4;10.45.23;2018;first collecting data1;d1ab1818d329f08b772ccd19712805a794cc0ed5;NA;1
eppofahmi;Add files via upload;2018-04-04T10:52:04Z;a9069cf;Wed;Apr;4;10.52.04;2018;Add files via upload;7c3b2f0ef89d2b80cdaf850cb5d224111b1624cf;NA;1
eppofahmi;project1;2018-04-04T10:55:23Z;a147107;Wed;Apr;4;10.55.23;2018;project1;7c3b2f0ef89d2b80cdaf850cb5d224111b1624cf;NA;1
eppofahmi;tes2;2018-04-04T11:08:15Z;001fb8e;Wed;Apr;4;11.08.15;2018;tes2;a1471079b99e1341f2457bd4fa8e121dac7023dc;NA;1
eppofahmi;Merge branch 'master;2018-04-04T11:09:11Z;d462abd;Wed;Apr;4;11.09.11;2018;Merge branch 'master' of github.com:eppofahmi/virtualCitizens;001fb8e51af929cec153e7371d38f2c8deb21cab;a9069cfa48fa1a718202c2925beb8b0969dde052;2
eppofahmi;add proj;2018-04-04T11:13:07Z;0702b25;Wed;Apr;4;11.13.07;2018;add proj;d462abd6ffacc3672ab28bf06ad1364957bd55e9;NA;1
eppofahmi;project 3 test;2018-04-04T11:22:22Z;107e7de;Wed;Apr;4;11.22.22;2018;project 3 test;0702b25111948f77585b2e87dcbe6012c2d5fe86;NA;1
eppofahmi;yes test;2018-04-04T11:23:43Z;1a60ef6;Wed;Apr;4;11.23.43;2018;yes test;107e7dee2528ec3bbb7f7986367e412ed2a5b835;NA;1
eppofahmi;test 1 proj3;2018-04-04T11:25:07Z;ff902ca;Wed;Apr;4;11.25.07;2018;test 1 proj3;1a60ef6f375fb3d6f22ad90bb1bfb73e3dea4920;NA;1
eppofahmi;yes 1;2018-04-04T11:26:38Z;d4217ab;Wed;Apr;4;11.26.38;2018;yes 1;ff902cac3bc293fb08d42997f5bb820f944b68f9;NA;1
eppofahmi;add proj 2;2018-04-04T11:27:38Z;abcc5f5;Wed;Apr;4;11.27.38;2018;add proj 2;d4217ab10d17a989bfe4bdfbfdde612017c71168;NA;1
eppofahmi;description;2018-04-04T11:30:35Z;04a40fc;Wed;Apr;4;11.30.35;2018;description;abcc5f515c40b007f1fbb188843bb5e4a78ada63;NA;1
eppofahmi;adding project descr;2018-04-04T11:31:25Z;c96cb8e;Wed;Apr;4;11.31.25;2018;adding project description;04a40fca5837cd54afd4e33843e04bba7cfa8b0e;NA;1
eppofahmi;changing file name;2018-04-04T11:35:17Z;08a21d5;Wed;Apr;4;11.35.17;2018;changing file name;c96cb8edb51705e39c3375cd6406636c0398bef8;NA;1
eppofahmi;add description to p;2018-04-04T11:35:53Z;36b83a0;Wed;Apr;4;11.35.53;2018;add description to proj 1;08a21d58d8d2a62c5e1d362d83d0efc504c8d92b;NA;1
