user,tweets
ranggi87pratama,"Ini baru namanya safety riding .
#safetyriding dagelan @gojekindonesia #ranggilaz #saveojekonline <e2><80><a6>"
vienisaa,@Ardin_dindindin @freell_ @frennadya hahaha jangan jangan mama ojek online kii :v #saveojekonline
kickyn,Yuk share apa saja sisi positif ojek online #SaveOjekOnline
koeztri,"Ketika ojek online dilarang muncul tagar #SaveGojek #SaveOjekOnline , akan adakah tagar sejenis saat metro mini dikandangin"
ardiyad,Mau nonton naik #saveojekonline liat R2D2 di starwars #NET_entertainment @ENews_NET #ENEWSTIKETSTARWARS dapat tiket sekalian mendukung
kosim_rawrk,"@jokowi #SaveOjekOnline segera panggil menhub utk menyelesaikan mslh ini pak , kalo gojek sampai dilarang , tmbh bnyk rakyat nganggur"
asrovsoerasov,Banyak preman pensiun dan beralih menjadi driver ojek online ..#SaveOjekOnline
asrovsoerasov,Ojek online itu membantu pemerintah mengurangi pengangguran ..#SaveOjekOnline
APPFfilter,@jokowi ayo Pak revisi UULLAJ wadahi R2 sbg alat transportasi umum terbatas dan hrs berbentuk korporasi .#SaveGojek #SaveOjekOnline
APPFfilter,"Pak @jokowi @IgnatiusJonan ojek OL sebaiknya dlm btk korporasi n btggjawab atas armada ,driver dan penumpang #SaveOjekOnline #SaveGojek"
APPFfilter,Pak @jokowi @IgnatiusJonan ojek OL pasti akan bertransformasi alamiah saat transportasi massal murah dan mencukupi #SaveGojek #SaveOjekOnline
APPFfilter,Pak @Jokowi @IgnatiusJonan kami dukung bikin payung hukum u / atur R2 jd transportasi umum terbatas .#SaveGojek #SaveOjekOnline #SaveGrabBike
APPFfilter,Pak @jokowi saatnya revisi UULAJ #SaveGojek #SaveOjekOnline #SaveGrabBike salut buat pak @IgnatiusJonan perbaiki #TransportasiUmum
HansGultom,"Sangat disayangankan jika ojek online ditiadakan , padahal masyarakat sangat membutuhkan alat transportasi ini . #SaveOjekOnline"
alleshutapea,"Dirjen Perhubungan Darat n Menhub ..JGN HNY BLG TEORI ..TERJUN LSG ke LAPANGAN ..LIAT SPT apa ,ANGKUTAN UMUM yg ada di JLN !#saveojekonline"
anisaiwiw,yoshaaaaaa berita tentang ojek online sudah di cabut . pulang pkl bisa naik gojek lagiiii . tq menhub . walau cukup labil -_-  #SaveOjekOnline
helgapurple,#SaveOjekOnline  - Bubble Trouble (with Patricia ) <e2><80><94>
hasbiroeadhja,"#SaveOjekOnline aturan omong kosong .. tinggal suruh bikin ijin aja kok repot ...
ojek harus plat kuning ... alasan aja ente"
Astrimars,"@ Masyarakat Ungkapkan Kekecewaan Lewat #SaveOjekOnline   .b . H bbnn asyikkkk vz l ,xd f v  ,"
Fenrilarinda,"Ojek dan taksi online di tutup ,dengan adanya mereka kan org2 ga perlu susah2 lg mikirin transportasi apalagi org kantoran #SaveOjekOnline"
anisaiwiw,kalo gojek or ojek online lainnya sudah di tidak -adakan . kira2 pak menhub ada solusi lain . #SaveGojek #SaveOjekOnline
anisaiwiw,trus kalo gojek udah gak ada gue pulang pkl naek apaaaaaaaaa . #SaveOjekOnline #SaveGojek #SaveGojek #SaveGojek #SaveGojek #SaveOjekOnline
RumpiBangets,"gojek idaman masyarakat dn sngat membantu ? msalahnya dmana ?
#SaveGojek #SaveOjekOnline #gojek #indonesia #folloback"
tyo_ontheroad,Emg nya udh punya lapangan kerja sbg gantinya online ? #SaveGojek #SaveOjekOnline #GoRakyat
tyo_ontheroad,">200rb driver ojek online akan jd pengangguran dan kriminalitas melonjak , jk ojek online di larang #SaveGojek #SaveOjekOnline #GoRakyat"
Faisal_K21,Selama rakyat msh nyman dan aman dgn penggunaan transportasi berbasis aplikasi (0nline ) itu suara rakyat #SaveOjekOnline #SaveGojek #Gorakyat
Jokowi_JK_Ahok,"Dilarang Pemerintah , Masyarakat Ungkapkan Kekecewaan Lewat #SaveOjekOnline"
angga_ella,Berita online hari ini hingga jam ini tentang gojek tembus 235 berita #SaveOjekOnline
yansen_siregar,"bukan jalan tengah , BALIK LAGI KE YANG LAMA SETELAH DI PROTES ! #SaveOjekOnline"
Andi_Pangerang_,"Kalau ojek online dilarang gara2 gak roda 3 , jadiin aja BECAK MOTOR ...
#savegojek #saveojekonline"
faruqi_31,"jangan terlalu terburu memutuskan sesuatu , jangan sampai berat sepihak apalagi menyusahkan masy akhirnya #saveojekonline"
deeccee7,"Fix !!! Ojek online tetep beroperasi , thankyouu pak #SaveGojek #SaveOjekOnline"
yunusMakNyos,#SaveGojek #SaveOjekOnline .    Jual Lampu Emergency model petromah
yunusMakNyos,#SaveGojek #SaveOjekOnline     Jual Flashdisk Pulpen 8GB + box eksklusif
yunusMakNyos,#SaveGojek #SaveOjekOnline     Jual Jam tangan murah
yunusMakNyos,#SaveGojek #SaveOjekOnline     Jual Tirai magnet Anti Nyamuk
M2eRadio,pengalaman lo naik angkutan online apa sih ? mention dg #SUKASUKA #SaveOjekOnline
jacklynsuwargo,Yg bnr itu ojek biasa jd ojek ol jd biar gak getok hrg trs angkot2 yg nyetir nya ugal2an ditertibkan lg ...#SaveGojek #SaveOjekOnline
InIndi,Ojek itu dibutuhkan bukan krna aturan rakyat jadi susah harusnya ditata biar jauh lebih baik . #SaveOjekOnline
