V1;V2;V3;V4;V5;V6;V7;V8;V9
28-Mar-18;10.28 PM;@duckcatdog;"gojek dev team: ""brb creating block driver feature""";TRUE;;;;/duckcatdog/status/979228850671337472
28-Mar-18;9.03 PM;@vngnc;.@CeritaTranspOL  pic.twitter.com/g8GtX1bvai;FALSE;1;20;12;/vngnc/status/979207458974396416
28-Mar-18;12.14 AM;@kumparan;.@Uber sepakat untuk menjual bisnisnya di kawasan Asia Tenggara kepada @GrabSG. Apa saja dampaknya bagi driver dan pengguna? @CeritaTranspOL @GrabID @Uber_IDN https://bit.ly/2utsn20 pic.twitter.com/4SxvsZMT1g;FALSE;;2;4;/kumparan/status/978892999898861568
26-Mar-18;9.40 PM;@kumparan;Demo ojek online 'hijaukan' Istana Negara. Kamu sulit dapat ojek online hari ini? @CeritaTranspOL @GrabID @gojekindonesia @kemenhub151 #kumparanNEWS http://bit.ly/2pHNcCc pic.twitter.com/4dYqxFpdkx;FALSE;3;31;14;/kumparan/status/978492017880678400
23-Mar-18;5.27 AM;@AdiSupangkat;"Jazakallah khairan katsira, aamiin 
Nuhun atas bantuan dari grup ojol atas sumbangan kpd korban banjir Jatihandap yg dititip ke posko GCV Jatihandap #ynwa #dermaojolberkah #banjirjatihandap @prfm @sekitarbandung_ @infobdg @CeritaTranspOL pic.twitter.com/UwPvp9Rc5B";FALSE;;2;4;/AdiSupangkat/status/977159955076726784
28-Feb-18;9.42 AM;@trshxaw;Yang jemput tadi sore bikin degdegan. @CeritaTranspOL pic.twitter.com/FB7vA2RPog;FALSE;2;6;4;/trshxaw/status/968904345000423424
25-Feb-18;3.11 AM;@anggitadeska;Dont use grabpay as ur payment method , srsly. My trip’s payment still not solved since thursday, feb 22 and i already mention @GrabID but it just silence. Nah. @CeritaTranspOL;FALSE;1;;;/anggitadeska/status/967718594439032832
04-Feb-18;10.22 PM;@mobilmasuk;Thread. Cc @CeritaTranspOL  https://twitter.com/nindysm/status/960386837859549184 …;FALSE;;1;1;/mobilmasuk/status/960398281716072448
02-Feb-18;4.15 PM;@yonpurba;You can mention @lambeonlen;TRUE;;;;/yonpurba/status/959580970419499008
30-Jan-18;3.56 AM;@adrianizulivan;When your mas2 Uber tells you that he kissed a girl on her very first time Ubering with him, what would you do? @CeritaTranspOL;FALSE;;;;/adrianizulivan/status/958308039131451392
28-Jan-18;9.21 PM;@pengendarabesi;#tolakpermenhub108 #tolakpm108 @CeritaTranspOL @lambeonlenpic.twitter.com/60iUOVXwal;FALSE;1;14;10;/pengendarabesi/status/957846248848949249
28-Jan-18;6.54 AM;@fadzari;Oooo hahahahh;TRUE;;;;/fadzari/status/957628072517238785
