sumber_data,aplikasi,date,username,text,clean_text
playstore,gojek_customer,2018-04-17, Anastasia Tuwankotta , Please fix this immediately 1 Map sama driver sering ga nyambung Driverny ud sampe d tempat penjemputan di map masih di titik awal 2 Aplikasi gojek ga tau kenapa suka error lagi pesen or lagi tunggu driver tau mati sendiri aplikasiny 3 Token punya banyak Udah dikumpulin sampe 3ribu ,please fix immediately map driver nyambung driverny sampe penjemputan map titik aplikasi gojek suka error pesen tunggu driver mati aplikasiny token udah dikumpulin sampe ribu
playstore,gojek_customer,2018-04-17, Arif Prabu Wijaya , You deserve this 2 hari error terus login ga bisa bisa karena nunggu sms verifikasi yang ga jelas kapan sampenya Update OMG this is so frustrating I m still not able to login ,deserve error login nunggu sms verifikasi sampenya update omg frustrating still able login
playstore,gojek_customer,2018-04-17, Yenni YeNn , Aplikasi error on last week I can t login for 2 hours and I got 9 drivers called me asking where my position is Also my GoPay suddenly decreased 26k The automatically searching for new driver isn t really helpful if there s an issue ,aplikasi error last week can login hours got drivers called asking position also gopay suddenly decreased automatically searching new driver isn really helpful issue
playstore,gojek_customer,2018-04-16, Pradika Ferhan , Server is always down and error Can t even book a ride with this constant error And it isn t because of my network because it works perfectly fine with other similar application Please fix this issue I really don t want to shift to other app over this trivial issue ,server always error can even book ride constant error isn network works perfectly fine similar application please fix issue really don want shift app trivial issue
playstore,gojek_customer,2018-04-16, Dimas Jatikusumo , duuuuudddee your app prevents me from doing SWIPE FRENZY because the You got xxx points pop up blocks the spinning coin i got 90 tokens now so i want to do it quickly 1 click to close the pop up is waaaayy too much for me i m lazy but i m not the only one ,app prevents swipe frenzy got xxx points pop blocks spinning coin got tokens want quickly click close pop waaaayy much lazy one
playstore,gojek_customer,2018-04-19, Rapty Axa , Stupid app Why does it pair me with a driver that is close by radius but FAR AWAY by total distance distance <95> <9d> driveable route road This mechanism is very weak and prone to miscalculation This is so dumb ,stupid app pair driver close radius far away total distance distance driveable route road mechanism weak prone miscalculation dumb
playstore,gojek_customer,2018-04-16, Arthur Paul , Dua kali error dalam rentang waktu ga nyampe satu minggu Pertama beberapa hari yang lalu tiba tiba aplikasi nge order empat gojek sekaligus untuk satu tujuan yang sama Kedua barusan saya mau mesen tapi ga bisa jadinya ga jadi pake gojek Eh ketika saya udah mau nyampe tempat tujuan saya di apl ,kali error rentang nyampe minggu aplikasi order gojek tujuan barusan mesen pake gojek eh udah nyampe tujuan apl
playstore,gojek_customer,2018-04-13, A Google user , Susah buat mindahin pick up location nyaa sm destination suka nge lag padahal hp saya ios kadang keluat sendiri sama harga suka naik turun tolong di perbaiki dan di tingkat kan thankyou ,susah mindahin location nyaa sm destination suka lag hp ios kadang keluat harga suka turun tolong perbaiki tingkat thankyou
playstore,gojek_customer,2018-04-16, Panji Bagaskoro Wisnumurti , Baru update error gabisa pick up location lalu aplikasi crash setelah saya dapet driver saya tidak bisa lihat detail order saya dan aplikasi kembali crash saya user lama go jek pls fix this ,update error gabisa location aplikasi crash dapet driver lihat detail order aplikasi crash user go jek fix
playstore,gojek_customer,2018-04-15, Siti Fadillah , Akhir akhir ini sering bgt lag Error terus Sempet beberapa kali akhirnya make ojol tetanggaa krn pas mau order gojek ga bs terus Go pay jg sempet gabs digunain Zbl ih ,bgt lag error sempet kali make ojol tetanggaa pas order gojek go pay sempet gabs digunain zbl ih
playstore,gojek_customer,2018-04-16, Evelyn Merrelita , Your pin location is suck The driver on the map is going further away from pick up location Had to cancel and then he showed up after cancellation ,pin location suck driver map going away location cancel showed cancellation
playstore,gojek_customer,2018-04-16, goen Pujakesoema , mau isi saldo Gopay sama driver sering abis di alfamart sering error offline lah di Indomaret belum bisa ckckckck ,isi saldo gopay driver abis alfamart error offline indomaret ckckckck
playstore,gojek_customer,2018-04-17, Rozi Hanif , 2 saran 1 Sebaiknya toko kios bisa dikasih rating Kadang salah apa yg dipesen apa yg diantar Pernah juga dpt jus basi 2 Rating driver belakangan kan bisa ga perlu tiap kali buka mesti rating dulu Minimal pas rating bisa dimunculin itu total biaya apa2 aja yg udh dipesen ,saran toko kios dikasih rating kadang salah dipesen diantar dpt jus basi rating driver kali buka mesti rating minimal pas rating dimunculin total biaya udh dipesen
playstore,gojek_customer,2018-04-16, Endah Tahmidah , Helpful sih Tapi harga ongkir gofood makin mahal dan semakin setara sama harga makanannya Apalah dayaku yang anak kos ini ,helpful harga ongkir gofood mahal setara harga makanannya apalah dayaku anak kos
playstore,gojek_customer,2018-04-17, Joshua Dave Leesander , Sangat tidak rekomendasi Customer servicenya payah Kalo memang harga estimasi gofood apakah sampai 50k Sudah berapa kali harga gofood naik sebelah pihak dan beda harganya besar lagi Apakah anda sebagai perusahaan besar tidak mengetahui UU tentang perlindungan konsumen Jika anda sadar maka tran ,rekomendasi customer servicenya payah kalo harga estimasi gofood kali harga gofood sebelah beda harganya perusahaan uu perlindungan konsumen sadar tran
playstore,gojek_customer,2018-04-16, ELENA ABIGAIL , Goblok amat sh lo Kalo mmau register jgn tlp la kirim aja lewat sms gliran u tlp pake bahasa inggris gliran di ulang regis u tlp lagi tapi suara ilang terus gimana shhhh kalah lo ama grab aplikasi lemot ,goblok sh kalo mmau register tlp kirim sms gliran tlp pake bahasa inggris gliran ulang regis tlp suara ilang gimana shhhh kalah ama grab aplikasi lemot
playstore,gojek_customer,2018-04-19, Stephanie Putri Diasti , Gimana sih Gopay server kok busy di jam 6 pagi Kalau saya gak bawa cash gimana Gak bisa ngasih bintang minus satu 1 ya ,gimana gopay server busy bawa cash gimana ngasih bintang minus
playstore,gojek_customer,2018-04-17, Adi Fahman , crash terus tiap buka scroll menu di go food server lemot capek pake nya ,crash buka scroll menu go food server lemot capek pake
playstore,gojek_customer,2018-04-16, Irawan Rian , Much improvement Walaupun tergolong lama buat improve Tp salut interface baru oke bangett Rate it 5 stars from 1 star previously ,much improvement tergolong improve salut interface oke bangett rate stars star previously
playstore,gojek_customer,2018-04-16, Edo Prasetyo , Tadi waktu buka aplikasi ada keterangan server down tapi aplikasi tetep mencarikan driver baru dan tidak bisa dicancel sebaiknya ketika server down hal seperti ini tidak terjadi ,buka aplikasi keterangan server aplikasi tetep mencarikan driver dicancel server
playstore,gojek_customer,2018-04-15, Muhammad Marco , Saya punya pendalat bagaimana kalu GoJek tambahin fitur khusus wanita jadi kaum wanita yang takut kalau drivernya cowo takut iseng gak perlu lagi khawatir karena ada fitur khusus wanita ,pendalat kalu gojek tambahin fitur khusus wanita kaum wanita takut drivernya cowo takut iseng khawatir fitur khusus wanita
