sumber_data,parameter,date,time,periode,user,user_all,user_count,tweets,clean_text,word_count,hashtag,tag_count,is_duplicate,replying,fav_count,rep_count,ret_count,link
twitter,#saveojekonline,2015-12-21,11:17 PM,periode_1, ranggi87pratama, ranggi87pratama  gojekindonesia,2,"Ini baru namanya safety riding .
#safetyriding dagelan @gojekindonesia #ranggilaz #saveojekonline <e2><80><a6> ",namanya safety riding dagelan,4,safetyriding  ranggilaz  saveojekonline,3,FALSE,False,NA,NA,NA,/ranggi87pratama/status/679199121358594048
twitter,#saveojekonline,2015-12-21,7:10 AM,periode_1, tantitrianaa, tantitrianaa ,2,#saveojekonline,,0,saveojekonline,1,FALSE,False,NA,NA,NA,/tantitrianaa/status/678955602375139329
twitter,#saveojekonline,2015-12-19,4:48 AM,periode_1, vienisaa, vienisaa  Ardin_dindindin  freell_  frennadya,4,@Ardin_dindindin @freell_ @frennadya hahaha jangan jangan mama ojek online kii :v #saveojekonline,hahaha mama ojek online kii,5,saveojekonline,1,FALSE,True,NA,NA,NA,/vienisaa/status/678195170744004609
twitter,#saveojekonline,2015-12-19,1:20 AM,periode_1, kickyn, kickyn ,2,Yuk share apa saja sisi positif ojek online #SaveOjekOnline,share sisi positif ojek online,5,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/kickyn/status/678142825037365249
twitter,#saveojekonline,2015-12-19,1:02 AM,periode_1, koeztri, koeztri ,2,"Ketika ojek online dilarang muncul tagar #SaveGojek #SaveOjekOnline , akan adakah tagar sejenis saat metro mini dikandangin",ojek online dilarang muncul tagar adakah tagar sejenis metro mini dikandangin,11,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/koeztri/status/678138333688520705
twitter,#saveojekonline,2015-12-18,8:24 PM,periode_1, ardiyad, ardiyad  ENews_NET,2,Mau nonton naik #saveojekonline liat R2D2 di starwars #NET_entertainment @ENews_NET #ENEWSTIKETSTARWARS dapat tiket sekalian mendukung,nonton liat rd starwars tiket mendukung,6,saveojekonline  NET_entertainment  ENEWSTIKETSTARWARS,3,FALSE,False,NA,NA,NA,/ardiyad/status/678068480709558272
twitter,#saveojekonline,2015-12-18,2:11 PM,periode_1, kosim_rawrk, kosim_rawrk  jokowi,2,"@jokowi #SaveOjekOnline segera panggil menhub utk menyelesaikan mslh ini pak , kalo gojek sampai dilarang , tmbh bnyk rakyat nganggur",panggil menhub menyelesaikan mslh kalo dilarang tmbh bnyk rakyat nganggur,10,SaveOjekOnline,1,FALSE,True,NA,NA,NA,/kosim_rawrk/status/677974404580577280
twitter,#saveojekonline,2015-12-18,6:38 AM,periode_1, skys_fallin, skys_fallin ,2,#SaveGrabbike #SaveGrabcar #SaveGojek #SaveOjekOnline #thethreatofunemployment,,0,SaveGrabbike  SaveGrabcar  SaveGojek  SaveOjekOnline  thethreatofunemployment,5,FALSE,False,NA,NA,NA,/skys_fallin/status/677860496280649728
twitter,#saveojekonline,2015-12-18,5:41 AM,periode_1, asrovsoerasov, asrovsoerasov ,2,Banyak preman pensiun dan beralih menjadi driver ojek online ..#SaveOjekOnline,preman pensiun beralih driver ojek online,6,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/asrovsoerasov/status/677846271269330944
twitter,#saveojekonline,2015-12-18,5:40 AM,periode_1, asrovsoerasov, asrovsoerasov ,2,Ojek online itu membantu pemerintah mengurangi pengangguran ..#SaveOjekOnline,ojek online membantu pemerintah mengurangi pengangguran,6,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/asrovsoerasov/status/677845960454569984
twitter,#saveojekonline,2015-12-18,4:28 AM,periode_1, APPFfilter, APPFfilter  jokowi,2,@jokowi ayo Pak revisi UULLAJ wadahi R2 sbg alat transportasi umum terbatas dan hrs berbentuk korporasi .#SaveGojek #SaveOjekOnline,revisi uullaj wadahi sbg alat transportasi terbatas hrs berbentuk korporasi,10,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/APPFfilter/status/677827783888797696
twitter,#saveojekonline,2015-12-18,4:23 AM,periode_1, APPFfilter, APPFfilter  jokowi  IgnatiusJonan,3,"Pak @jokowi @IgnatiusJonan ojek OL sebaiknya dlm btk korporasi n btggjawab atas armada ,driver dan penumpang #SaveOjekOnline #SaveGojek",ojek ol dlm btk korporasi btggjawab armada driver penumpang,9,SaveOjekOnline  SaveGojek,2,FALSE,False,NA,NA,NA,/APPFfilter/status/677826542651641856
twitter,#saveojekonline,2015-12-18,4:17 AM,periode_1, APPFfilter, APPFfilter  jokowi  IgnatiusJonan,3,Pak @jokowi @IgnatiusJonan ojek OL pasti akan bertransformasi alamiah saat transportasi massal murah dan mencukupi #SaveGojek #SaveOjekOnline,ojek ol bertransformasi alamiah transportasi massal murah mencukupi,8,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/APPFfilter/status/677824973335990273
twitter,#saveojekonline,2015-12-18,4:14 AM,periode_1, APPFfilter, APPFfilter  Jokowi  IgnatiusJonan,3,Pak @Jokowi @IgnatiusJonan kami dukung bikin payung hukum u / atur R2 jd transportasi umum terbatas .#SaveGojek #SaveOjekOnline #SaveGrabBike,dukung bikin payung hukum atur transportasi terbatas,7,SaveGojek  SaveOjekOnline  SaveGrabBike,3,FALSE,False,NA,NA,NA,/APPFfilter/status/677824343955509249
twitter,#saveojekonline,2015-12-18,4:10 AM,periode_1, APPFfilter, APPFfilter  jokowi  IgnatiusJonan,3,Pak @jokowi saatnya revisi UULAJ #SaveGojek #SaveOjekOnline #SaveGrabBike salut buat pak @IgnatiusJonan perbaiki #TransportasiUmum,revisi uulaj salut perbaiki,4,SaveGojek  SaveOjekOnline  SaveGrabBike  TransportasiUmum,4,FALSE,False,1,NA,1,/APPFfilter/status/677823261653118976
twitter,#saveojekonline,2015-12-18,3:46 AM,periode_1, HansGultom, HansGultom ,2,"Sangat disayangankan jika ojek online ditiadakan , padahal masyarakat sangat membutuhkan alat transportasi ini . #SaveOjekOnline",disayangankan ojek online ditiadakan masyarakat membutuhkan alat transportasi,8,SaveOjekOnline,1,FALSE,False,1,NA,1,/HansGultom/status/677817243057577984
twitter,#saveojekonline,2015-12-18,3:45 AM,periode_1, AlbertTjoe, AlbertTjoe  boediono,2,@boediono thank you Om ! #saveojekonline,thank,1,saveojekonline,1,FALSE,True,NA,NA,NA,/AlbertTjoe/status/677816933954138112
twitter,#saveojekonline,2015-12-18,3:19 AM,periode_1, alleshutapea, alleshutapea ,2,"Dirjen Perhubungan Darat n Menhub ..JGN HNY BLG TEORI ..TERJUN LSG ke LAPANGAN ..LIAT SPT apa ,ANGKUTAN UMUM yg ada di JLN !#saveojekonline",dirjen perhubungan darat menhub hny blg teori terjun lsg lapangan liat spt angkutan jln,14,saveojekonline,1,FALSE,False,NA,NA,NA,/alleshutapea/status/677810412843208704
twitter,#saveojekonline,2015-12-18,3:03 AM,periode_1, anisaiwiw, anisaiwiw ,2,yoshaaaaaa berita tentang ojek online sudah di cabut . pulang pkl bisa naik gojek lagiiii . tq menhub . walau cukup labil -_-  #SaveOjekOnline,yoshaaaaaa berita ojek online cabut pulang pkl lagiiii tq menhub labil,11,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/anisaiwiw/status/677806469253758977
twitter,#saveojekonline,2015-12-18,2:51 AM,periode_1, helgapurple, helgapurple ,2,#SaveOjekOnline  - Bubble Trouble (with Patricia ) <e2><80><94> ,bubble trouble patricia,3,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/helgapurple/status/677803385752391680
twitter,#saveojekonline,2015-12-18,2:46 AM,periode_1, hasbiroeadhja, hasbiroeadhja ,2,"#SaveOjekOnline aturan omong kosong .. tinggal suruh bikin ijin aja kok repot ...
ojek harus plat kuning ... alasan aja ente",aturan omong kosong tinggal suruh bikin ijin repot ojek plat kuning alasan ente,13,SaveOjekOnline,1,FALSE,False,1,NA,NA,/hasbiroeadhja/status/677802221094834176
twitter,#saveojekonline,2015-12-18,2:23 AM,periode_1, Astrimars, Astrimars ,2,"@ Masyarakat Ungkapkan Kekecewaan Lewat #SaveOjekOnline   .b . H bbnn asyikkkk vz l ,xd f v  ,",masyarakat ungkapkan kekecewaan bbnn asyikkkk vz,6,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/Astrimars/status/677796230777311232
twitter,#saveojekonline,2015-12-18,2:16 AM,periode_1, Fenrilarinda, Fenrilarinda ,2,"Ojek dan taksi online di tutup ,dengan adanya mereka kan org2 ga perlu susah2 lg mikirin transportasi apalagi org kantoran #SaveOjekOnline",ojek taksi online tutup org susah mikirin transportasi org kantoran,10,SaveOjekOnline,1,FALSE,False,NA,NA,NA,/Fenrilarinda/status/677794627747864576
twitter,#saveojekonline,2015-12-18,2:06 AM,periode_1, anisaiwiw, anisaiwiw ,2,kalo gojek or ojek online lainnya sudah di tidak -adakan . kira2 pak menhub ada solusi lain . #SaveGojek #SaveOjekOnline,kalo ojek online adakan menhub solusi,6,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/anisaiwiw/status/677792134842351616
twitter,#saveojekonline,2015-12-18,2:04 AM,periode_1, anisaiwiw, anisaiwiw ,2,trus kalo gojek udah gak ada gue pulang pkl naek apaaaaaaaaa . #SaveOjekOnline #SaveGojek #SaveGojek #SaveGojek #SaveGojek #SaveOjekOnline,trus kalo udah pulang pkl naek apaaaaaaaaa,7,SaveOjekOnline  SaveGojek  SaveGojek  SaveGojek  SaveGojek  SaveOjekOnline,6,FALSE,False,NA,NA,NA,/anisaiwiw/status/677791487849988096
twitter,#saveojekonline,2015-12-18,1:57 AM,periode_1, aktualitascom, aktualitascom ,2, #SaveGojek #SaveOjekOnline,,0,SaveGojek  SaveOjekOnline,2,FALSE,False,NA,NA,NA,/aktualitascom/status/677789758249164800
twitter,#saveojekonline,2015-12-18,1:56 AM,periode_1, RumpiBangets, RumpiBangets ,2,"gojek idaman masyarakat dn sngat membantu ? msalahnya dmana ?
#SaveGojek #SaveOjekOnline #gojek #indonesia #folloback",idaman masyarakat sngat membantu msalahnya dmana,6,SaveGojek  SaveOjekOnline  gojek  indonesia  folloback,5,FALSE,False,NA,NA,NA,/RumpiBangets/status/677789550085820416
twitter,#saveojekonline,2015-12-18,1:52 AM,periode_1, tyo_ontheroad, tyo_ontheroad ,2,Emg nya udh punya lapangan kerja sbg gantinya online ? #SaveGojek #SaveOjekOnline #GoRakyat,emg udh lapangan kerja sbg gantinya online,7,SaveGojek  SaveOjekOnline  GoRakyat,3,FALSE,False,NA,NA,NA,/tyo_ontheroad/status/677788415094484992
