Data,user_count
tyo_kurowo JRX_SID Metro_TV rhdiens,4
CopokTBH forbali13,2
xAPLEH_SINATRAx JRX_SID,2
xAPLEH_SINATRAx JRX_SID,2
xAPLEH_SINATRAx JRX_SID,2
xAPLEH_SINATRAx JRX_SID,2
ForBALI13,1
xAPLEH_SINATRAx JRX_SID,2
GoesEka67,1
_gigi90 adehemas jrx_sid,3
Jerry_hell JRX_SID Metro_TV rhdiens,4
angga_arsana,1
Silmanaz,1
angga_arsana KompasTv,2
DianAdi_Saputra KompasTV JRX_SID,3
angga_arsana KompasTv JRX_SID,3
angga_arsana JRX_SID KompasTv,3
puterasetyawan,1
Gus_Copy,1
maumaulana_alan JRX_SID KompasTV,3
yudispriyanto JRX_SID KompasTV,3
DanKurowo JRX_SID,2
titodurriz,1
Masput_ JRX_SID KompasTV,3
cahyo_melvin,1
wawanoutsider5 JRX_SID,2
iwan_saputra8 SID_Official,2
Rozy_Aprilian,1
AkhmadAbdi SID_Official,2
aditisida,1
Guz_suryaSR JRX_SID KompasTV,3
katabochi,1
katabochi,1
Elvan1976 JRX_SID,2
Abanx_OSD kompastv jrx_sid,3
Fahqi_SID JRX_SID,2
JonAdibPrasetyo,1
OSD_OLDFRIENDS JRX_SID,2
Elvan1976 JRX_SID baliekarock,3
gentaroi,1
adit_ABRS KompasTV JRX_SID,3
gentaroi KompasTV,2
FaisalRIsahab,1
SamudraaMD Goes_Rocka Goes_Rocka,3
agastyaroyyan,1
anggamelon SID_Official,2
nandiamondlight TLsamudraa Goes_Rocka,3
IqbalPA_ JRX_SID KompasTV,3
AnggitOutSIDer_ SID_Official,2
anggabekool_666 SID_Official,2
SamudraaMD Goes_Rocka,2
meonk_eucreg,1
nandiamondlight TLsamudraa Goes_Rocka,3
lani_over SID_Official,2
anggabekool_666 adehemas kompastv jrx_sid,4
tufail_alba,1
agungXla adehemas kompastv jrx_sid,4
Gedearimbawa4 AgunkAlit,2
Guzz_Danuu JRX_SID,2
Atenk_PM JRX_SID Metro_TV rhdiens,4
KokoSnd JRX_SID Metro_TV,3
CopokTBH TheBullheadBali forbali13,3
Gedearimbawa4 gunk_arii AgunkAlit gedearimbawa4 gunk_arii,5
Gedearimbawa4 gedearimbawa4adirage AgunkAlit,3
Gedearimbawa4 gedearimbawa4,2
AgunkAlit Gedearimbawa4 AgunkAlit,3
AgunkAlit gunk_arii AgunkAlit Gedearimbawa4 gunk_arii,5
Gedearimbawa4 AgunkAlit gedearimbawa4 gunk_arii,4
AgunkAlit Gedearimbawa4 gunk_arii,3
anindyastina JRX_SID KompasTV,3
fuadekadarmawan Metro_TV JRX_SID,3
menuschandra,1
kandanggelap Metro_TV JRX_SID,3
bobbyalcoholic JRX_SID Metro_TV,3
Nda_LadyRose2 JRX_SID KompasTV,3
arstorynet SID_Official,2
dent_SID JRX_SID KompasTV,3
xgregx_ SID_Official,2
Tulus_AK47,1
lani_over JRX_SID,2
reyshamaulin_ JRX_SID,2
ADEBIKUL,1
DiiahMonroe JRX_SID,2
ARF_wijayanto JRX_SID Metro_TV,3
DiiahMonroe JRX_SID,2
AnggaKusuma73,1
ririsdeka JRX_SID Metro_TV,3
ag6774va JRX_SID Metro_TV rhdiens,4
Winahya_Dhatu JRX_SID Metro_TV,3
