term,freq
alam,3019
bli,2278
teluk,1997
aksi,1750
dukung,1623
gerakan,1460
rakyat,1446
konser,1363
lawan,1202
balebengong,1180
semoga,1085
menolak,1084
orang,1e3
semangat,983
baliho,981
mendukung,899
kawan,897
berjuang,884
besok,828
melawan,826
penguasa,818
anak,807
jakarta,780
suarakan,771
bergerak,748
bantu,737
perjuangan,735
pulau,721
tolong,715
suara,712
cinta,689
tanah,645
menyuarakan,629
renon,613
kalo,593
demo,587
investor,584
mini,583
sebarkan,576
salam,569
perpres,568
bumi,567
budaya,561
dr,553
peduli,539
rakus,537
warga,532
menang,521
keren,517
jam,513
support,513
sayang,513
acara,511
kaos,508
tp,507
teman,507
lupa,504
jalan,497
tdk,496
selamatkan,494
turun,480
sid,479
butuh,479
presiden,479
bangun,477
hati,474
perlawanan,470
tau,469
baju,464
laut,463
tv,462
pantai,451
uang,438
batalkan,435
desa,431
rusak,428
masyarakat,420
jokowi,417
pro,414
bang,405
baca,403
foto,401
indah,397
tangan,397
lingkungan,396
forbali,396
sby,396
merusak,394
petisi,394
dprd,388
udah,387
biar,385
parade,372
hidup,368
salah,357
makan,347
adat,337
krn,336
pemerintah,335
gubernur,332
band,331
rumah,331
manusia,329
save,327
ttg,325
kantor,317
nasi,306
tenggelam,305
negara,302
mohon,299
tanjung,299
akun,296
liat,290
konservasi,288
karna,282
galak,277
padang,271
alasan,266
mati,259
semesta,259
sdh,259
tuhan,258
musisi,257
revitalisasi,254
barisan,253
biarkan,252
negeri,248
penolakan,247
kemarin,246
dimana,244
berani,244
air,243
diam,243
salut,240
pesisir,240
fooled,238
dirusak,237
art,235
teriakan,234
merapat,234
coba,231
jogja,231
pengusaha,230
jaga,230
video,229
minggu,229
beli,228
org,227
pemuda,227
bikin,226
pake,225
timur,225
muda,221
please,220
mata,218
dukungan,218
lihat,218
gagah,217
main,216
terimakasih,214
milik,211
takut,210
parkir,209
berita,207
pejuang,206
tetep,205
harga,203
proyek,203
lap,203
rock,202
menjaga,202
mbak,201
dead,201
dunia,200
love,200
bersatu,199
berdiri,199
bkn,198
sih,197
ikutan,197
banget,197
buka,197
petani,196
suka,194
tinggal,193
superman,193
ku,192
gratis,192
kak,192
nonton,191
bandung,190
doa,190
stage,189
good,188
jumat,188
solidaritas,188
dlm,187
isi,185
sing,185
kota,183
now,183
tshirt,183
denpasar,183
pakai,181
cucu,181
pengen,180
sya,180
info,179
damai,179
langsung,178
gimana,178
happy,178
silahkan,177
setuju,177
sukses,177
bukti,177
pd,175
kali,175
karya,175
maaf,173
hi,173
polisi,171
kumpul,171
event,170
maju,169
raya,169
ajak,167
berperang,167
penuh,167
kompas,165
direklamasi,165
lantang,165
media,164
subsidi,164
keindahan,163
jual,163
silakan,163
hasil,163
kuta,162
bu,162
gabung,161
edukasi,161
hadir,161
min,159
sadar,159
pariwisata,159
pesan,156
keep,156
dengar,156
lapangan,156
kebenaran,155
gw,155
aktivis,155
aparat,155
pertiwi,154
bahas,154
gk,152
reclamation,152
semalam,151
sanur,151
rencana,151
pemimpin,150
kesiman,150
iya,149
suksma,149
pembangunan,149
ttp,149
pas,148
bangsa,147
apapun,146
bergabung,146
nurani,145
kpd,144
musik,144
paksa,143
donasi,143
pm,143
lestari,142
penggak,142
satukan,142
masuk,141
thx,141
cantik,141
sikap,141
mersi,141
respect,140
bagus,140
mangrove,140
used,140
thanks,139
tweet,139
free,139
iwan,139
dibali,138
nyata,138
dibayar,138
cfd,138
ulang,138
stunt,138
cari,137
publicity,137
daerah,136
gedung,136
selatan,136
sale,135
kemenangan,135
mlm,134
tanda,134
bilang,134
mention,133
pura,133
follow,132
massa,131
wib,130
dear,130
tidur,130
sbg,130
teriakkan,130
terbaik,129
share,129
panggung,129
kawankawan,129
dkk,128
lanjutkan,128
ganti,128
punk,128
nasional,128
trus,127
bareng,126
ribuan,126
istana,126
blm,125
ramaikan,125
bayaran,125
layangan,124
sampe,123
twit,123
barat,123
deh,123
nyanyi,122
kawasan,122
proreklamasi,122
konspirasi,121
untk,121
lelah,121
svara,121
cafe,120
lengser,120
photo,119
dri,119
stand,119
lepas,119
puisi,118
komisi,118
lo,118
mesin,118
smoga,117
nusa,117
jkt,117
teriak,116
tpi,116
bangga,116
selebriti,116
sehat,115
alamnya,114
temen,114
dampak,114
lets,113
dll,113
seni,112
malu,112
jadikan,112
new,111
dibohongi,111
kampanye,111
jl,111
keserakahan,110
berhenti,109
hebat,109
kmi,109
nggak,108
cabut,108
tgl,108
kelahiran,108
tuh,107
bundaran,107
td,106
keputusan,106
hrs,105
pahlawan,105
isu,105
orasi,105
hotel,105
keadilan,105
dibodohi,105
kultwit,105
asli,104
aspirasi,104
bencana,104
ketemu,104
disana,104
capres,104
negri,103
yah,103
avatar,103
fals,103
merdeka,102
hahaha,102
bendera,102
bicara,102
sunset,102
banjir,102
memakai,101
dont,101
lakukan,101
anarki,101
km,101
yaa,100
sampah,100
membela,100
percaya,100
mending,100
ganteng,100
hashtag,100
bgt,99
hak,99
tercinta,99
buruk,98
forum,98
outsider,98
thn,98
bay,98
br,98
vs,98
lbh,98
mr,98
agustus,97
dewata,97
paham,97
banjar,97
mendengar,97
people,97
kaya,97
penghargaan,97
rapatkan,97
luka,96
kerja,96
maling,96
day,96
habis,96
program,95
mantap,95
udh,95
surabaya,95
turis,95
knp,94
bentuk,94
twitter,94
nelayan,94
asing,94
perusak,94
relawan,94
esok,94
stop,94
bau,93
dpt,93
membantu,93
salute,93
live,93
skrg,93
go,93
segelintir,93
guys,93
lagunya,93
beton,92
pasang,92
berkedok,92
baliku,92
bersuara,92
net,92
lahir,91
revolusi,91
hastag,91
sosial,91
saudara,91
world,91
temanteman,90
politik,90
kepentingan,90
jumpa,90
sms,90
hancurkan,89
tunggu,89
truk,89
msh,88
menyerah,88
bawa,88
tuan,88
keras,87
akn,87
hutan,87
trending,87
walhi,86
pergerakan,86
adlh,86
dengarkan,86
diskusi,86
tim,86
kejalan,86
sahabat,86
thd,85
bakar,85
outsiders,85
retweet,85
jawa,85
pilih,85
eh,85
jahat,85
menteri,85
hnya,84
beach,84
memperjuangkan,84
fight,83
diunduh,83
luck,83
ha,83
kabar,83
lho,83
pendukung,83
sm,83
galungan,83
simak,82
supir,82
hatta,82
generasi,81
nama,81
tuk,81
puputan,81
umur,81
hancur,81
pasar,81
ngamen,81
wisata,80
artis,80
berdoa,80
sila,80
tuli,80
us,80
menyanyikan,80
gunung,79
perjuangkan,79
order,79
tag,79
pilpres,79
kalah,79
tmn,79
peserta,79
yes,78
suwun,78
berlawan,78
bertemu,78
spt,78
merinding,78
gini,78
bsk,78
ikuti,78
sk,77
twice,77
osd,77
seribu,77
gendo,77
hny,77
bela,77
memilih,77
help,77
rolling,77
sang,76
otak,76
perang,76
menikmati,76
kepalkan,76
beraksi,76
sibuk,76
bodoh,76
mega,76
serangan,76
buta,76
demokrasi,76
film,75
bohongi,75
komunitas,75
lapak,75
sabtu,75
klip,74
melindungi,74
perubahan,74
solo,74
palsu,74
rahajeng,74
jerman,74
janji,74
lahan,73
ormas,73
nosstress,73
dirgahayu,73
malang,73
kl,73
mencintai,73
wita,73
bener,73
ratusan,73
sept,73
zonomad,73
tees,72
dijual,72
will,72
sekedar,72
lokasi,72
fans,72
emang,72
kemang,72
menghancurkan,71
mrk,71
thanx,71
wakil,71
kuat,71
see,71
terhormat,71
slalu,71
nyepi,71
berorasi,71
kelestarian,70
rame,70
bsa,70
yeah,70
kiri,70
membahas,70
bnyk,70
kacung,70
rela,70
nov,70
dibatalkan,70
mahasiswa,70
jari,70
tujuan,70
ngga,70
stone,70
award,70
pasarmini,70
dapet,69
namanya,69
tulisan,69
jrxsid,69
tegak,69
surat,69
tonton,68
menit,68
dikhianati,68
krna,68
lindungi,68
indahnya,68
ekosistem,68
yth,68
unhi,68
bar,68
buktikan,68
jebret,68
menunggu,67
link,67
bersih,67
congrats,67
island,67
halo,67
lucu,67
leak,67
dps,67
puluhan,67
dago,67
seru,66
meneriakan,66
ngurug,66
membatalkan,66
terbuka,66
smua,66
kubu,66
pejabat,65
cerita,65
lampung,65
lu,65
hukum,65
idola,65
berteriak,65
jln,65
harapan,65
dibaca,65
manggung,65
menyelamatkan,65
terancam,65
pribadi,64
dana,64
berhasil,64
spanduk,64
legenda,64
bosan,64
tunjukkan,64
hehe,64
koran,64
gambar,63
serakah,63
ready,63
bodohi,63
berharap,63
manis,63
dtg,63
promosikan,63
thukul,62
kekuatan,62
serukan,62
hentikan,62
data,62
amdal,62
panas,62
asri,62
pls,62
gua,62
buktinya,62
bebek,62
polda,62
gowes,62
cawapres,62
wiji,61
pecinta,61
semeton,61
cintai,61
ka,61
debat,61
kemana,61
utara,61
next,61
diredam,61
puncak,61
ri,61
gmn,61
kekuasaan,61
denger,61
dpn,61
hujani,61
pikir,60
made,60
pantau,60
jk,60
bos,60
wow,60
siapkan,60
mundur,60
perusakan,60
morning,60
ramai,60
tangani,60
berisiko,60
rose,59
ayoo,59
langit,59
konsisten,59
repostapp,59
tenang,59
cover,59
ronaldo,59
wajib,58
titik,58
gila,58
anti,58
aman,58
kembalikan,58
kampus,58
festival,58
angkat,58
mandala,58
beliau,58
terkait,58
fuck,58
nikmati,58
resmi,58
susi,58
awards,58
tandatangan,58
sawah,57
kang,57
serius,57
cepat,57
petisinya,57
harap,57
bahaya,57
bungkam,57
selasa,57
pic,57
government,57
kuningan,57
dusta,57
cm,57
kongser,57
nunggu,56
loh,56
klipnya,56
seminyak,56
trs,56
dateng,56
dah,56
time,56
pikiran,56
movement,56
pulang,56
kehidupan,56
undang,56
september,56
mengudara,56
oknum,56
ngomong,56
jabatan,56
malem,55
oke,55
kayak,55
nolak,55
donk,55
akibat,55
kerakusan,55
sok,55
publik,55
menantang,55
slamat,55
berdasi,55
dibilang,55
serentak,55
follower,55
check,55
yel,55
golput,55
kemaren,54
music,54
mars,54
semarang,54
seniman,54
pasir,54
pohon,54
urug,54
surga,54
ikutikutan,54
lombok,54
aduh,54
contoh,54
gara,54
inget,54
fpi,54
macet,54
dilarang,53
kehilangan,53
darah,53
takkan,53
gitu,53
lady,53
merah,53
api,53
mafia,53
repost,53
mereklamasi,53
tampil,53
open,53
sepeda,53
panitia,53
ribu,53
sungguh,53
dukungannya,53
tukang,52
bayar,52
sabar,52
kah,52
beda,52
mempertahankan,52
mencari,52
lestarikan,52
berlanjut,52
tulus,52
tsb,52
berkumandang,52
berubah,52
hilang,52
marah,52
lingkar,52
tum,52
temu,52
gub,52
ikonia,51
tikus,51
batal,51
sayangi,51
selesai,51
agenda,51
sma,51
pakde,51
suci,51
kepala,51
today,51
tol,51
badung,51
dharma,51
murni,51
kenal,51
tulis,51
perwakilan,51
pilihan,51
tlg,51
kenalan,51
reddbox,51
diperalat,51
mimpi,50
lokal,50
logo,50
pengisi,50
tindakan,50
neh,50
online,50
marjinal,50
com,50
water,50
tua,50
ane,50
bisnis,50
menjual,50
terharu,50
hestek,50
ijin,50
tandatangani,50
dimusuhi,50
metro,49
senang,49
hub,49
putih,49
ngerti,49
kopi,49
cerdas,49
taman,49
niti,49
tumbuh,49
versi,49
gelar,49
suwung,49
perduli,49
nasib,49
mangku,48
pemerintahan,48
fbtwitter,48
take,48
navicula,48
cuman,48
ama,48
parah,48
bangkit,48
izin,48
earth,48
hindu,48
hormat,48
ngopi,48
just,48
gendovara,48
mall,48
jimbaran,48
menurunkan,48
mreka,47
instagram,47
radar,47
nyari,47
ambil,47
jujur,47
jiwa,47
untung,47
alasannya,47
penonton,47
kt,47
diurug,47
jalanan,47
meneriakkan,47
lelang,47
tanam,47
membawa,47
anniversary,47
merayakan,47
mei,47
khianati,47
kriminalisasi,47
asik,46
hajar,46
others,46
like,46
mba,46
dijaga,46
dpr,46
miris,46
rumahnya,46
mw,46
kta,46
bekasi,46
masy,46
bbm,46
hai,46
buatan,46
memasang,46
rekan,46
dibongkar,46
oh,45
dmn,45
abrasi,45
nak,45
perform,45
dapatkan,45
grup,45
say,45
dasar,45
belajar,45
telinga,45
kibarkan,45
hallo,45
layak,45
pantang,45
suport,45
smg,45
penolak,45
president,45
dedikasikan,45
bobbyalcoholic,45
bwt,45
ade,45
bergema,45
ttap,45
preman,45
prabowo,45
berkas,45
jokowido,45
cheers,44
ntar,44
kelak,44
join,44
ok,44
hbd,44
tu,44
ditunggu,44
jelek,44
wilayah,44
hujan,44
abis,44
amin,44
one,44
musuh,44
oktober,44
sekolah,44
keuntungan,44
dngn,44
jga,44
agama,44
interview,43
mudah,43
ketua,43
ngaku,43
daratan,43
rb,43
geekssmile,43
gen,43
membangun,43
brani,43
membuka,43
matur,43
memberkati,43
sdg,43
ndak,43
back,43
dirobek,43
kena,43
green,43
kakak,43
titip,43
sblm,43
look,43
pemirsa,43
tema,42
pintar,42
bobby,42
jngan,42
jngn,42
kritis,42
top,42
orng,42
ditanah,42
tagar,42
rp,42
land,42
post,42
sd,42
makasih,42
persiapan,42
bule,42
slmt,42
piala,42
dijadikan,42
lan,42
kedatangan,42
rcti,42
kamis,42
status,42
bhinneka,42
need,42
kerusakan,42
rekanrekan,42
fault,42
mission,42
jak,41
tunjukan,41
miss,41
night,41
dimanapun,41
senjata,41
pendapat,41
suasana,41
udara,41
gianyar,41
langkah,41
susah,41
pt,41
pray,41
berjalan,41
pelaut,41
sejarah,41
dijajah,41
diatas,41
klungkung,41
jdi,41
ngotot,41
telkomsel,41
gitar,41
satunya,41
lancar,41
hektar,41
legian,41
wajah,41
kite,41
banyuwangi,41
cocok,41
menandatangani,41
parno,41
dibungkam,40
leluhur,40
ubud,40
liputan,40
milu,40
bnyak,40
alami,40
ttd,40
diluar,40
pusat,40
venue,40
efek,40
mampir,40
full,40
doang,40
fokus,40
lukisan,40
tugas,40
berkumpul,40
lirik,40
kedonganan,40
party,40
drpd,40
edisi,40
ikan,40
kirim,40
kebanyakan,40
protes,40
angusbalinese,40
come,40
duit,40
korban,40
penipu,40
paspampres,40
gigs,40
nomer,40
stay,39
memikirkan,39
proses,39
nice,39
single,39
dengerin,39
tanggal,39
allah,39
power,39
cool,39
padanggalak,39
didepan,39
adl,39
usaha,39
menjarah,39
masak,39
menerima,39
bohong,39
berpartisipasi,39
jepang,39
pengecut,39
hatimu,39
sirkuit,39
gokil,39
reklamator,39
dewi,39
ham,39
supportnya,39
dituduh,38
muka,38
pastika,38
saksikan,38
ekologi,38
mewakili,38
pertahankan,38
murka,38
truck,38
suaranya,38
vokal,38
nomor,38
pasukan,38
upaya,38
berkarya,38
fungsi,38
sumpah,38
menangis,38
pacar,38
tluk,38
best,38
malaikat,38
ancaman,38
byk,38
desak,38
luas,38
ayolah,38
desanya,38
jedi,38
mertasari,38
sopir,37
pergi,37
enak,37
feat,37
dicabut,37
kehancuran,37
dialog,37
kiriman,37
god,37
orangorang,37
bernyanyi,37
berpikir,37
right,37
kuasa,37
fakta,37
liburan,37
dirikan,37
terbaru,37
tradisi,37
membawakan,37
kelas,37
poster,37
nenek,37
kauh,37
dng,37
menjelang,37
tlah,37
tabanan,37
dadi,37
aneh,37
kumandangkan,37
bunderan,37
kekar,37
blast,37
mudahan,36
kapitalis,36
warisan,36
menentang,36
dicari,36
mencabut,36
kreatif,36
artwork,36
niat,36
gagal,36
tunduk,36
istirahat,36
okt,36
hp,36
smp,36
konsermini,36
isinya,36
respon,36
punah,36
sepenuhnya,36
lengkap,36
topik,36
mo,36
memenangkan,36
bem,36
karang,36
yunani,36
cr,36
ani,36
dibubarkan,36
dbodohi,36
kene,35
lgi,35
agung,35
sikat,35
intinya,35
sik,35
can,35
pekerjaan,35
kekayaan,35
teruskan,35
lumayan,35
tutup,35
reject,35
merobek,35
birthday,35
memiliki,35
nature,35
mengubah,35
tertindas,35
ekonomi,35
perairan,35
unud,35
thank,35
damn,35
rezzajiwana,35
rajasa,35
jurnalis,35
menutup,34
unduh,34
pa,34
gede,34
jatuh,34
lari,34
kado,34
bermain,34
song,34
padam,34
batu,34
sesuai,34
kaki,34
man,34
kegiatan,34
radio,34
chirpified,34
hehehe,34
nemu,34
keluarga,34
teguh,34
way,34
album,34
get,34
membaca,34
ngapain,34
inggris,34
tekad,34
giliran,34
wujudkan,34
milih,34
smakin,34
adil,34
ayooo,34
smangat,34
mural,34
bongkar,34
sgt,34
ngurah,34
rai,34
eyes,34
perihal,34
tertarik,34
sbyudhoyono,34
terpilih,34
ladyrose,33
rianna,33
bajunya,33
setan,33
sebar,33
sedih,33
acaranya,33
clip,33
uda,33
proud,33
msih,33
trims,33
tonight,33
sebelah,33
keseimbangan,33
great,33
sederhana,33
henti,33
fitnah,33
pembodohan,33
beerday,33
dahsyat,33
lantangkan,33
penjualan,33
ngetweet,33
bsok,33
ketidakadilan,33
pernyataan,33
mengerti,33
nangka,33
warna,33
bkan,33
bukit,33
nyanyian,33
provinsi,33
kosong,33
bgmn,33
didedikasikan,33
sah,33
samas,33
busuk,33
delik,33
sinis,33
mulia,32
kunjungi,32
nusantara,32
rumahmu,32
fest,32
sir,32
real,32
mementingkan,32
beer,32
bless,32
intimidasi,32
sumber,32
jerinx,32
mewah,32
war,32
perdana,32
nyanyikan,32
berbuat,32
metal,32
informasi,32
ayah,32
budak,32
mobil,32
read,32
badan,32
cadas,32
berkenan,32
april,32
tw,32
ramairamai,32
meluncur,32
mendesak,32
datanglah,32
lgsg,32
madri,32
jupe,32
penguasainvestor,32
dibalik,31
super,31
hijau,31
make,31
berbahaya,31
tour,31
bullhead,31
wali,31
kepedulian,31
kotak,31
kece,31
bahagia,31
kontra,31
harta,31
mrka,31
chirpstory,31
astungkara,31
patut,31
butuhkan,31
vote,31
bakau,31
kebijakan,31
saudaraku,31
bola,31
project,31
duh,31
robek,31
dikalahkan,31
terbukti,31
meluas,31
sidakarya,31
canggu,31
fanbase,31
andai,30
sia,30
always,30
tiada,30
mikir,30
merubah,30
beserta,30
jon,30
buang,30
sakit,30
tk,30
anakanak,30
wajar,30
got,30
barang,30
minum,30
bertanggung,30
dihancurkan,30
dngan,30
play,30
dibanding,30
last,30
penikmat,30
bad,30
bebas,30
membungkam,30
tetaplah,30
fb,30
lomba,30
sprti,30
rebel,30
kayaknya,30
menghentikan,30
ketulusan,30
angin,30
juli,30
well,30
pudut,30
monggo,30
berkunjung,30
kaum,30
dibeli,30
rkyat,30
licik,30
big,30
darat,30
diintimidasi,30
amah,29
mengganti,29
vidio,29
mumpung,29
sperti,29
watch,29
alih,29
skrng,29
nok,29
bendesa,29
pda,29
ajeg,29
bbrp,29
kajian,29
jaya,29
yak,29
merugikan,29
kondisi,29
sucahya,29
admin,29
setia,29
aj,29
bandnya,29
lautan,29
mengajak,29
bersamamu,29
netral,29
bob,29
jembrana,29
berkibar,29
nkri,29
dlu,29
stiker,29
mah,29
done,29
akustikan,29
pokoknya,29
membutuhkan,29
long,29
gencar,29
utama,29
kesejahteraan,29
mendoakan,29
kenyamanan,29
ahok,29
really,29
