sumber_data,parameter,date,time,periode,user,user_all,user_count,tweets,clean_text,word_count,hashtag,tag_count,is_duplicate,replying,fav_count,rep_count,ret_count,link
twitter,#balinotforsale,2012-12-23,2:45 PM,periode_6, gustulang,gustulang  baliphotoforum  slokainstitute,3,Diskusi @baliphotoforum mengulas karya Vifick Bolang #balinotforsale @slokainstitute,diskusi mengulas karya vifick bolang,5,balinotforsale,1,FALSE,False,NA,NA,2,/gustulang/status/282753851252158464
twitter,#balinotforsale,2012-10-28,1:04 PM,periode_6, vifickbolang,vifickbolang  PemelukPohon  asruldwi  setonirojim,4,@PemelukPohon @asruldwi 3hari ini pemotretan utk project #BaliNotForSale gmn dg kalian ? #3point cc : @setonirojim,pemotretan project gmn,3,BaliNotForSale  3point,2,FALSE,False,NA,2,NA,/vifickbolang/status/262434540172230656
twitter,#balinotforsale,2012-10-27,11:26 PM,periode_6, vifickbolang,vifickbolang  asruldwi  PemelukPohon,3,@asruldwi @PemelukPohon skr lg panas2nya isu yg berkaitan dg project foto -ku #BaliNotForSale ada investor mo bikin hotel di hutan mangrove,skr panasnya isu berkaitan project foto ku investor mo bikin hotel hutan mangrove,13,BaliNotForSale,1,FALSE,False,NA,NA,NA,/vifickbolang/status/262228786538508289
twitter,#balinotforsale,2012-10-26,6:57 AM,periode_6, IndieBaliMusik,IndieBaliMusik,1,"Berikan nafas dewata untuk bali , agar bali tidak dijajah diam2 oleh para pendatang :) #BaliNotForSale !",nafas dewata dijajah diam pendatang,5,BaliNotForSale,1,FALSE,False,NA,1,2,/IndieBaliMusik/status/261617435772342272
twitter,#balinotforsale,2012-10-08,9:50 PM,periode_6, putradnswr,putradnswr,1,Lama -lama Bali berubah nih julukannya dari 'pulau seribu pura ' jadi 'pulau seribu hotel ' #hutanbakau #balinotforsale,berubah julukannya pulau seribu pura pulau seribu hotel,8,hutanbakau  balinotforsale,2,FALSE,False,NA,NA,1,/putradnswr/status/255319143568519168
twitter,#balinotforsale,2012-10-08,9:39 PM,periode_6, putradnswr,putradnswr,1,"Bali Clean & Green motto dari pemerintah yang terbukti saat ini , hanya sekedar wacana semata .. #balinotforsale",clean green motto pemerintah terbukti sekedar wacana,7,balinotforsale,1,FALSE,False,NA,NA,NA,/putradnswr/status/255316485705183232
twitter,#balinotforsale,2012-10-08,9:06 PM,periode_6, Gektaaaa,Gektaaaa,1,Bali not for Sale ! #balinotforsale dukung hutan mangrove kita supaya tak d kuasai investor yg akan membuat apartment /hotel lg ! Use hastag !!!,sale dukung hutan mangrove kuasai investor apartment hotel use hastag,10,balinotforsale,1,FALSE,False,1,NA,NA,/Gektaaaa/status/255308228555055104
twitter,#balinotforsale,2012-10-08,1:21 PM,periode_6, nandaaRD,nandaaRD,1,Jaga hutan mangrove kita di Bali #balinotforsale,jaga hutan mangrove,3,balinotforsale,1,FALSE,False,NA,NA,NA,/nandaaRD/status/255191066230272000
twitter,#balinotforsale,2012-06-06,4:58 PM,periode_6, Angka_Ganjil,Angka_Ganjil  NathaSutrisna  yudi_artana  oktaviannanda  bagussatya_n,5,#Kotapenat #RockerKehujanan #Hari -Hariku #NananaPantaiKuta #BaliNotForSale @NathaSutrisna @yudi_artana @oktaviannanda @bagussatya_n,hariku,1,Kotapenat  RockerKehujanan  Hari  NananaPantaiKuta  BaliNotForSale,5,FALSE,False,NA,NA,NA,/Angka_Ganjil/status/210309583472836608
twitter,#balinotforsale,2012-10-26,7:38 AM,periode_6, Imperieos,Imperieos  IndieBaliMusik,2,"""@IndieBaliMusik : Berikan nafas dewata untuk bali , agar bali tidak dijajah diam2 oleh para pendatang :) #BaliNotForSale !""",nafas dewata dijajah diam pendatang,5,BaliNotForSale,1,FALSE,False,NA,NA,1,/Imperieos/status/261627887914975232
