date,tweets,periode,person
2015-12-13,Mau liat kaos2 perjuangan dr berbagai wilayah ? Lihat di booth komunitas #BaliTolakReklamasi di padanggalak,periode_3,gendovara
2015-12-12,Tweps . Semesta melindungi perjuangan kita . Mari turun ke lapangan . Semangati api perlawanan ini dengan nafas cinta alam #balitolakreklamasi,periode_3,gendovara
2015-09-06,@shaggydogjogja @HERUWA kalian gagah . Gerakan #BaliTolakReklamasi adalah perjuangan semesta . Ini baru adrenaline !,periode_3,gendovara
2015-09-06,"Liat kaosnya @Blueskycloud9 ,Gagah . Ehmm kabarny musisi dibrief panpel agar ga suara #BaliTolakReklamasi . Bener gak ?",periode_3,gendovara
2015-09-06,"Bg tweeps yg menonton ,gunakan kaos #BaliTolakReklamasi .Kibarkan panji2 , triakan suara perlawanan ! Dorong mrk punya nyali ! #SoundNoAdrenaline",periode_3,gendovara
2015-09-06,"Klo benar , tentu saja ini ironis . #BaliTolakReklamasi adlh urusan publik bkn urusan politik kekuasaan . Hrs cerdas menilai #SoundNoAdrenaline",periode_3,gendovara
2015-09-06,"Katany musik brnyali .Tp kok ada kabar gk sedap ya ?gosipnya ,musisi dibrief agr tdk suarakan #BaliTolakReklamasi . Benarkah ? #SoundNoAdrenaline",periode_3,gendovara
2015-09-06,"Setelah @Seringai lantang , skr @Blueskycloud9 @DEADSQUAD_Band kobarkan panji #baliTolakReklamasi . #SoundNoAdrenaline",periode_3,gendovara
2015-08-22,"Karnaval Agustusan di Bangil Pasuruan Jawa Timur , poster #BaliTolakReklamasi Teluk Benoa . Cc @jokowi @susipudjiastuti",periode_3,gendovara
2015-07-14,@melanieSjohan keren kaosnya #BaliTolakReklamasi,periode_3,gendovara
2015-07-13,"Akhirnya ktemu jg dg @CTuah , pejuang dr samarinda stlh bertahun2 tdk jumpa . Salah satu orang yg support gerakan #BALITOLAKREKLAMASI",periode_3,gendovara
2015-06-30,Dimanapun dan kapanpun selalu kampanye perjuangan semesta #BaliTolakReklamasi ini #IniAksikuManaAksimu ?,periode_3,gendovara
2015-06-29,Lawak Rarekual meriahkan Ultah Sekaa Truna Yowana Yadnya Patni Br . Anyar Ds Tanjung Benoa . Gemakan lagu #Balitolakreklamasi cc @smileforbali,periode_3,gendovara
2015-06-14,S3makin banyak yg berani mendukung gerakan #BaliTolakReklamasi cc @ForBALI13 @balitv @netmediatama @BaleBengong,periode_3,gendovara
2015-06-14,Nah ini lag banyak support bagi gerakan #BaliTolakReklamasi cc @ForBALI13,periode_3,gendovara
2015-06-14,"Peserta Asia Pasific Greens Federation  #APGF2015 , di New Zealand ,  bersolidaritas bg 
gerakan #BaliTolakReklamasi",periode_3,gendovara
2015-06-14,"JAMES SHAW ,  Member of Parliement New Zealand dr Green Party  bersolidaritas u / gerakan #BaliTolakReklamasi #APGF2015",periode_3,gendovara
2015-06-13,Support from Convener Kelly Yen #APGF2015 for #BaliTolakReklamasi @johnmuhammad_ @ForBALI13,periode_3,gendovara
2015-06-13,Catherine Delahunty member of parliament Australia stand in sokidarity #BaliTolakReklamasi #APGF2015 cc @ForBALI13,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-06-13,Gerakan #BaliTolakReklamasi Teluk Benoa semakin mendunia . Respon dr aktifis2 ini adalah buktinya ! Terus #Bergerak,periode_3,gendovara
2015-03-13,"Td mau kupinjam tp ga dikasi ""@antonemus :kirain mas @Dandhy_Laksono yg ngedrone . trnyata polisi . #BaliTolakReklamasi",periode_3,gendovara
2015-02-06,Gitaris @stevenjam pake kaos #BaliTolakReklamasi di #balireggaemovement,periode_3,gendovara
2015-02-06,Penonton #BaliReggaeMovement banyak yag berkaos #BaliTolakReklamasi #TolakReklamasiBerkedokRevitalisasiTelukBenoa REGGAE ADALAH BERLAWAN !,periode_3,gendovara
2016-09-10,Mereka datang untuk memfitnah gerakan #BaliTolakReklamasi berbungkus nasionalisme . Ah kacung tetap saja kacung . Berkuasa dikit aja belagu !,periode_3,gendovara
2016-09-05,Jika ada yang meragukan nasionalisme gerakan #BaliTolakReklamasi silakan lihat gambar ini . Veteran RI berjuang !,periode_3,gendovara
2016-09-03,"Jika masih punya hati , sudah semestinya menolak reklamasi Teluk Benoa .  #BaliAsik #BaliTolakReklamasi cc @jokowi",periode_3,gendovara
2016-09-03,"Bali ttp asik tanpa harus over development yg abaikan  kearifan lokal dan lingkungan . 
#BaliAsik
#BaliTolakReklamasi",periode_3,gendovara
2016-08-28,Tuh dibilangin gerakan #BaliTolakReklamasi adlh gerakan rakyat . Penuh kreatifitas . Keren -kan ? Msh sangsi ? @ForBALI13,periode_3,gendovara
2016-08-28,Lalu di @LEGIANBEACHFEST #BaliTolakReklamasi  bergemuruh . @naviculamusic main diiringi kibaran panji2 @ForBALI13 .,periode_3,gendovara
2016-08-28,@GlennFredly  bentangkan kain bermotif @ForBALI13 sbg bentuk solidaritas atas perjuangan #BaliTolakReklamasi,periode_3,gendovara
2016-08-28,"Di Sanur Village Festival , sebelumnya relawan @ForBALI13 memeriahkan ogoh2  #BaliTolakReklamasi , malamnya dipanggung seni pekik BTR bergolak",periode_3,gendovara
2016-08-28,"Semalam seru , gema #BaliTolakReklamasi berkumandang di 2 tempat . 1 ) Sanur Village Festival & 2 ) Legian Beach Festival .",periode_3,gendovara
2016-08-28,Penutupan Sanur Village Festival dgn Ogoh -Ogoh o / Barisan #BaliTolakReklamasi dr Leak Sanur . Kreatifkan ? @forbali13,periode_3,gendovara
2016-08-03,Perempuan yang bersemangat menemani anaknya berjuang . Perjuangan #BaliTolakReklamasi tak kenal batas usia .,periode_3,gendovara
2016-08-03,Ini suasana aksi #BaliTolakReklamasi . Seorang bapak memegang megaphone sambil ngajak anaknya . Ini namanya totalitas !,periode_3,gendovara
2016-08-03,Pd aksi #BaliTolakReklamasi (31 juli 16 ) longmarch 2 km loh . Liat ekpresi perempuan ini ? Penuh semangat & keikhlasan,periode_3,gendovara
2016-08-03,"Liat smangat Ibu ini dg 2 anakny . Eit jgn salah ,mrk sdh ikut aksi #BaliTolakReklamasi dr 4 th lalu cc @walhinasional",periode_3,gendovara
2016-08-03,Liat keluarga ini . Mrk sll hadir dlm aksi2 #BaliTolakReklamasi . Mrk rela wkt pikniknya tuk brjuang cc @walhinasional,periode_3,gendovara
2016-08-03,Aksi2 #BaliTolakReklamasi selalu diikuti byk keluarga . Gerakan ini sdh masuk ke ranah  paling intim yakni keluarga !,periode_3,gendovara
2016-08-02,"Mrk yg lapar saat aksi tolak reklamasi . Dg duit sndiri beli lumpia . Eit ,pakaianny jg duit sndiri #BaliTolakReklamasi",periode_3,gendovara
2016-02-15,Pamflet #BaliTolakReklamasi dr @ForBALI13 menghiasi papan2 informasi kampus UIN Jakarta cc @bem_kbmpnb @BEM_UNHI,periode_3,gendovara
2016-02-10,Itulah orang2 kreatif dan bernurani . Dimana dan kapan saja selalu bw pesan #BaliTolakReklamasi cc @susipudjiastuti,periode_3,gendovara
2017-02-11,Bebaskan kawan kami I Made Joniantara alias De John & I Gusti Dharmawijaya alias Gung Omled @gendovara @DivHumasPolri #BaliTolakReklamasi,periode_3,gendovara
2017-01-07,"Malam ini konser mini #BaliTolakReklamasi di wantilan desa adat Kelan . Datang , berjuang dan berdendang . #BerlawanDenganRiangGembira",periode_3,gendovara
2013-09-04,@GoesEka67 @Radic_co #BaliTolakReklamasi sama2 bro . Maaf kalo ga sempet ngobrol :),periode_1,gendovara
2013-09-02,Eitttt ada @ardha_neraka n boker #baliTolakReklamasi,periode_1,gendovara
2013-08-28,"""@Dirty13_cloth : Mari kita semangati orang -orang ini <c2><bb> @gendovara @JRX_SID @WalhiBali selamatkan Bali dan Negeri ini . #BaliTolakReklamasi """,periode_1,gendovara
2013-11-07,Bang @iwanfals  MEnolak Reklamasi Teluk BEnoa Bali  #balitolakreklamasi,periode_1,gendovara
2013-10-01,@JRX_SID @forbali13 salam solidaritas buat  @GlennFredly bro . semoga gelora perjuangan semakin bergema :) #BaliTolakReklamasi,periode_1,gendovara
2013-12-24,"Cak @AHMADDHANIPRAST jika ada waktu luang , mohon buka website gerakan #BaliTolakReklamasi Teluk Benoa :",periode_1,gendovara
2014-06-27,"Cc @dendisandinatha ""@gedeamstrong : Thx untuk aksinya tdi @forbali13 @sid_official #BaliTolakReklamasi",periode_2,gendovara
2014-06-27,"Cc @dendisandinatha ""@forbali13 : Baleganjur nya udah siap nii .. #BatalkanPerpreslimasatuthbjad #BaliTolakReklamasi",periode_2,gendovara
2014-06-27,"Palingan si koran abal2  ""@RMBLrafa : Masih adakah yang bilang ini puluhan ?!
#BaliTolakReklamasi @forbali13 @JRX_SID",periode_2,gendovara
2014-06-27,"Cc @dendisandinatha ""@SemaraAgung : Turun ke jalan @forbali13 #BaliTolakReklamasi #BatalkanPerpreslimasatuthbjad",periode_2,gendovara
